ID,Pos,Games ,MIN,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,OREB,DREB,TotalREB,AST,STL,BLK,TOV,PF,PPG,ASTPG,REBPG,STLPG,BLKPG,PFPG,MINPG,eFG,PER,TS%,USG%,OBPM,DBPM,VORP,Salary
12148,PF,82,2846,366,945,0.387,112,314,0.357,254,631,0.403,123,173,0.711,54,268,322,271,68,73,173,237,1573,3.304878049,3.926829268,0.829268293,0.890243902,2.890243902,34.70731707,0.446560847,10.8,0.473,19.3,-1.1,0,0.6,8038228
12152,PF,52,868,104,211,0.493,0,1,0,104,210,0.495,53,72,0.736,74,130,204,30,30,15,35,75,264,0.576923077,3.923076923,0.576923077,0.288461538,1.442307692,16.69230769,0.492890995,14.6,0.538,15.2,-0.4,0.7,0.5,9313398
12161,SF,82,2148,238,587,0.405,126,340,0.371,112,247,0.453,76,94,0.809,35,226,261,113,88,14,69,206,1320,1.37804878,3.182926829,1.073170732,0.170731707,2.512195122,26.19512195,0.512776831,12.1,0.539,15.7,-1.3,1.4,1.1,2815225
12203,SF,79,2079,365,753,0.485,7,40,0.175,358,713,0.502,124,193,0.642,112,247,359,162,67,61,130,168,960,2.050632911,4.544303797,0.848101266,0.772151899,2.126582278,26.3164557,0.48937583,16.1,0.514,21.5,0.4,0,1.3,7064578
12204,PG,61,1197,150,353,0.425,10,36,0.278,140,317,0.442,72,98,0.735,34,121,155,244,35,11,85,76,460,4,2.540983607,0.573770492,0.180327869,1.245901639,19.62295082,0.439093484,14.9,0.482,18.5,-0.2,-1.7,0,1517543
12215,SF,74,882,115,327,0.352,81,207,0.391,34,120,0.283,19,24,0.792,30,81,111,40,25,8,41,102,708,0.540540541,1.5,0.337837838,0.108108108,1.378378378,11.91891892,0.475535168,10.1,0.489,20.2,-0.2,-0.5,0.3,627547
12237,PF,75,2592,471,900,0.523,1,6,0.167,470,894,0.526,219,285,0.768,230,627,857,148,74,55,134,199,1177,1.973333333,11.42666667,0.986666667,0.733333333,2.653333333,34.56,0.523888889,20.8,0.567,20,2.4,-0.2,2.7,964038
12254,SF,47,893,111,282,0.394,4,9,0.444,107,273,0.392,66,105,0.629,55,112,167,55,32,18,51,134,307,1.170212766,3.553191489,0.680851064,0.382978723,2.85106383,19,0.40070922,9.7,0.445,19,-4.1,-0.1,-0.5,1032631
12259,PG,75,1392,157,407,0.386,75,202,0.371,82,205,0.4,55,67,0.821,18,99,117,209,57,7,128,100,825,2.786666667,1.56,0.76,0.093333333,1.333333333,18.56,0.477886978,10.9,0.509,17.9,-1.5,-1.2,-0.2,627547
12286,SG,50,1799,340,781,0.435,87,202,0.431,253,579,0.437,157,172,0.913,20,101,121,99,38,2,102,105,1269,1.98,2.42,0.76,0.04,2.1,35.98,0.491037132,14.8,0.539,24.7,1.1,-1.6,0.7,27257289
